有價證券代號,有價證券名稱,市場別,產業別,公開發行/上市(櫃)/發行日
2850,新產,上市,金融保險業,2000/05/22
2851,中再保,上市,金融保險業,2000/07/06
2852,第一保,上市,金融保險業,2000/11/28
2855,統一證,上市,金融保險業,2002/09/16
2867,三商壽,上市,金融保險業,2012/12/18
2880,華南金,上市,金融保險業,2001/12/19
2881,富邦金,上市,金融保險業,2001/12/19
2882,國泰金,上市,金融保險業,2001/12/31
2883,開發金,上市,金融保險業,2001/12/28
2884,玉山金,上市,金融保險業,2002/01/28
2885,元大金,上市,金融保險業,2002/02/04
2886,兆豐金,上市,金融保險業,2002/02/04
2887,台新金,上市,金融保險業,2002/02/18
2888,新光金,上市,金融保險業,2002/02/19
2889,國票金,上市,金融保險業,2002/03/26
2890,永豐金,上市,金融保險業,2002/05/09
2891,中信金,上市,金融保險業,2002/05/17
2892,第一金,上市,金融保險業,2003/01/02
2897,王道銀行,上市,金融保險業,2017/05/05
2901,欣欣,上市,貿易百貨業,1976/05/07
2903,遠百,上市,貿易百貨業,1978/10/11
2904,匯僑,上市,其他業,1983/01/05
2905,三商,上市,貿易百貨業,1988/09/19
2906,高林,上市,貿易百貨業,1989/12/26
2908,特力,上市,貿易百貨業,1993/02/18
2910,統領,上市,貿易百貨業,1996/12/30
2911,麗嬰房,上市,貿易百貨業,1997/01/18
2912,統一超,上市,貿易百貨業,1997/08/22
2913,農林,上市,貿易百貨業,1962/02/09
2915,潤泰全,上市,貿易百貨業,1977/07/20
2923,鼎固-KY,上市,建材營造業,2012/12/07
2929,淘帝-KY,上市,貿易百貨業,2013/12/30
2936,客思達-KY,上市,貿易百貨業,2016/09/26
2939,凱羿-KY,上市,貿易百貨業,2018/01/11
3002,歐格,上市,電腦及週邊設備業,2002/01/23
3003,健和興,上市,電子零組件業,2002/02/19
3004,豐達科,上市,鋼鐵工業,2002/02/25
3005,神基,上市,電腦及週邊設備業,2002/02/25
3006,晶豪科,上市,半導體業,2002/03/04
3008,大立光,上市,光電業,2002/03/11
3010,華立,上市,電子通路業,2002/07/22
3011,今皓,上市,電子零組件業,2002/07/22
3013,晟銘電,上市,電腦及週邊設備業,2002/09/16
3014,聯陽,上市,半導體業,2002/10/29
3015,全漢,上市,電子零組件業,2002/10/16
3016,嘉晶,上市,半導體業,2002/12/24
3017,奇鋐,上市,電腦及週邊設備業,2002/09/27
3018,同開,上市,其他電子業,2002/08/26
3019,亞光,上市,光電業,2002/08/26
3021,鴻名,上市,電子零組件業,2002/08/26
3022,威強電,上市,電腦及週邊設備業,2002/08/26
3023,信邦,上市,電子零組件業,2002/08/26
3024,憶聲,上市,光電業,2002/08/26
3025,星通,上市,通信網路業,2002/08/26
3026,禾伸堂,上市,電子零組件業,2002/08/26
3027,盛達,上市,通信網路業,2002/08/26
3028,增你強,上市,電子通路業,2002/08/26
3029,零壹,上市,資訊服務業,2002/08/26
3030,德律,上市,其他電子業,2002/10/29
3031,佰鴻,上市,光電業,2002/08/26
3032,偉訓,上市,電子零組件業,2002/08/26
3033,威健,上市,電子通路業,2002/08/26
3034,聯詠,上市,半導體業,2002/08/26
3035,智原,上市,半導體業,2002/08/26
3036,文曄,上市,電子通路業,2002/08/26
3037,欣興,上市,電子零組件業,2002/08/26
3038,全台,上市,光電業,2002/08/26
3040,遠見,上市,其他業,2002/08/26
3041,揚智,上市,半導體業,2002/08/26
3042,晶技,上市,電子零組件業,2002/08/26
3043,科風,上市,其他電子業,2002/08/26
3044,健鼎,上市,電子零組件業,2002/08/26
3045,台灣大,上市,通信網路業,2002/08/26
3046,建碁,上市,電腦及週邊設備業,2002/08/26
3047,訊舟,上市,通信網路業,2002/08/26
3048,益登,上市,電子通路業,2002/10/01
3049,和鑫,上市,光電業,2002/09/27
3050,鈺德,上市,光電業,2002/10/29
3051,力特,上市,光電業,2002/10/28
3052,夆典,上市,建材營造業,1995/11/25
3054,立萬利,上市,半導體業,2002/11/18
3055,蔚華科,上市,電子通路業,2002/12/12
3056,總太,上市,建材營造業,2003/03/03
3057,喬鼎,上市,電腦及週邊設備業,2002/12/18
3058,立德,上市,電子零組件業,2002/12/09
3059,華晶科,上市,光電業,2002/12/24
3060,銘異,上市,電腦及週邊設備業,2003/04/21
3062,建漢,上市,通信網路業,2003/07/28
3090,日電貿,上市,電子零組件業,2007/12/31
3094,聯傑,上市,半導體業,2007/08/06
3130,一零四,上市,資訊服務業,2006/02/17
3138,耀登,上市,通信網路業,2020/12/11
3149,正達,上市,光電業,2011/11/23
3164,景岳,上市,生技醫療業,2010/03/22
3167,大量,上市,電機機械,2013/10/21
3189,景碩,上市,半導體業,2004/11/01
